Time,Type,Presenting author,Other authors,Title
09:00,Reception,,,
09:30,Inaugural speech,"Joo, Ian",,Doing linguistics in Hokkaido
10:00,Invited talk,"Van Hoey, Thomas",,Accommodating path and manner in the lexical aspect of iconic words
11:00,Tea break,,,
11:30,Invited talk,"Rojas Berscia, Luis Miguel",,"Languoid in layers: a brief appetiser to the Dynamic approach from Shawi, Kukatja and Wolof"
12:30,Lunch,,,
13:30,Iconicity,"Rahman, Syed Shahrier","Banerjee, Mithun",When form mirrors event order: Iconicity in Bangla word-order alternations
14:00,Iconicity,"Park, Jiyeon",,A multi-level semantic analysis of Korean ideophones: A Semantic Grid account and typological implications
14:30,Tea break,,,
15:00,Phonology,"Liu, Chin-Ting",,Phonological similarity as a necessary condition for the categorical perception of lexical tones in Taiwan Mandarin
15:30,Phonology,"Banerjee, Mithun",,Phonological and Grammatical Criteria in Mru Word Structure
16:00,Tea break,,,
16:30,Semantics,"Basile, Rodolfo","Kittilä, Seppo",Types of causative constructions in Finnish and their uses
17:00,Semantics,ハラファッラー　ナディア,,日本語とアラビア語における自然に関連する語彙の慣用句
17:30,Dinner,,,
